Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,imageID,dorsal_lateral_bad,weight_bad,weight_dorsal,weight_lateral,conf_infers1,conf_infers3,conf_infers5,conf_infers7,bad_signifier
3481.0,2400.0,,INAT-54465770-3,dorsal,-3.991059541702272,7.011513233184815,-3.257319211959839,dorsal,dorsal,dorsal,dorsal,
3482.0,2401.0,,INAT-86566858-1,bad,2.087242126464844,-3.2741940021514893,1.005077838897705,bad,bad,bad,bad,
3483.0,2402.0,,INAT-120451291-1,lateral,-8.701911926269531,-9.035106658935549,17.873445510864258,lateral,lateral,lateral,lateral,
3484.0,2403.0,,INAT-95586152-1,lateral,-1.274285078048706,-0.7921710014343262,1.6740083694458008,lateral,bad,bad,bad,
3485.0,2404.0,,INAT-51636377-4,dorsal,-4.539314270019531,4.9459333419799805,-0.6903453469276428,dorsal,dorsal,dorsal,bad,
3486.0,2405.0,,INAT-49972175-2,bad,2.6165359020233154,-3.040983200073242,0.5296081900596619,bad,bad,bad,bad,
3487.0,2406.0,,INAT-64275644-1,lateral,-1.360042691230774,-3.487295866012573,5.083280563354492,lateral,lateral,lateral,bad,
3488.0,2407.0,,INAT-6750613-2,lateral,-3.4829137325286865,-3.2418768405914307,6.693394660949707,lateral,lateral,lateral,lateral,
3489.0,2408.0,,INAT-47466229-1,lateral,-1.3754976987838743,-11.343915939331056,12.594893455505373,lateral,lateral,lateral,lateral,
3490.0,2409.0,,INAT-48846423-4,dorsal,-3.9281933307647705,2.109001636505127,2.088684797286988,bad,bad,bad,bad,
3491.0,2410.0,,INAT-123913596-1,dorsal,0.6613960266113281,1.2883323431015017,-2.184966564178467,bad,bad,bad,bad,
3492.0,2411.0,,INAT-107905531-1,bad,4.364082336425781,-2.20787000656128,-2.587926149368286,bad,bad,bad,bad,
3493.0,2412.0,,INAT-49510640-1,dorsal,-7.394687652587891,8.965960502624512,-1.637691617012024,dorsal,dorsal,dorsal,dorsal,
3494.0,2413.0,,INAT-125344133-1,lateral,-4.887825965881348,2.2921926975250244,2.5540642738342285,bad,bad,bad,bad,
3495.0,2414.0,,INAT-14584801-3,lateral,2.788351058959961,-9.148890495300291,6.210713863372803,lateral,lateral,bad,bad,
3496.0,2415.0,,INAT-121535388-2,bad,3.099834680557251,-2.970066547393799,-0.4307287037372589,bad,bad,bad,bad,
3497.0,2416.0,,INAT-127135810-2,lateral,-0.1531634926795959,-4.568356513977051,4.765308380126953,lateral,lateral,bad,bad,
3498.0,2417.0,,INAT-91965296-2,lateral,0.4941067397594452,-5.680249214172363,5.32763671875,lateral,lateral,bad,bad,
