,John,,,,Jessica,,,
"Ophiogomphus occidentis Hagen, 1885 - Sinuous Snaketail",x,,,,X,,,
"Ophiogomphus rupinsulensis (Walsh, 1862) - Rusty Snaketail",x,,,,X,,,
"Ophiogomphus severus Hagen in Hayden, 1874 - Pale Snaketail",x,,,,X,,,
"Ophiogomphus smithi Tennessen and Vogt, 2004 - Sioux Snaketail",x,,,,X,,,
"Ophiogomphus susbehcha Vogt and Smith, 1993 - St. Croix Snaketail",x,,,,X,,,
"Ophiogomphus westfalli Cook and Daigle, 1985 - Westfall’s Snaketail",x,,,,X,,,
"Phanogomphus australis (Needham, 1897) - Clearlake Clubtail",x,,,,X,,,
"Phanogomphus borealis (Needham, 1901) - Beaverpond Clubtail",x,,,,X,,,
"Phanogomphus cavillaris (Needham, 1902) - Sandhill Clubtail",x,,,,X,,,
"Phanogomphus descriptus (Banks, 1896) - Harpoon Clubtail",x,,,,X,,,
"Phanogomphus diminutus (Needham, 1950) - Diminutive Clubtail",x,,,,X,,,
"Phanogomphus exilis (Selys, 1854) - Lancet Clubtail",x,,,,X,,,
"Phanogomphus graslinellus (Walsh, 1862) - Pronghorn Clubtail",x,,,,X,,,
"Phanogomphus hodgesi (Needham, 1950) - Hodges’s Clubtail",x,,,,X,,,
"Phanogomphus kurilis (Hagen in Selys, 1858) - Pacific Clubtail",x,,,,X,,,
"Phanogomphus lividus (Selys, 1854) - Ashy Clubtail",x,,,,X,,,
"Phanogomphus militaris (Hagen in Selys, 1858) - Sulphur-tipped Clubtail",x,,,,X,,,
"Phanogomphus minutus (Rambur, 1842) - Cypress Clubtail",x,,,,X,,,
"Phanogomphus oklahomensis (Pritchard, 1935) - Oklahoma Clubtail",x,,,,X,,,
"Phanogomphus quadricolor (Walsh, 1863) - Rapids Clubtail",x,,,,X,,,
"Phanogomphus sandrius (Tennessen, 1983) - Tennessee Clubtail",x,,,,X,,,
"Phanogomphus spicatus (Hagen in Selys, 1854) - Dusky Clubtail",x,,,,X,,,
"Phanogomphus westfalli (Carle & May, 1987) - Westfall’s Clubtail",x,,,,X,,,
"Phyllocycla breviphylla Belle, 1975 - Ringed Forceptail",x,,,,X,,,
"Phyllogomphoides albrighti (Needham, 1950) - Five-striped Leaftail",x,,,,X,,,
"Phyllogomphoides nayaritensis Belle, 1987 - West Mexican Leaftail",x,,,,X,,,
"Phyllogomphoides stigmatus (Say, 1839) - Four-striped Leaftail",x,,,,X,,,
"Progomphus alachuensis Byers, 1939 - Tawny Sanddragon",x,,,,X,,,
"Progomphus bellei Knopf and Tennessen, 1980 - Belle’s Sanddragon",x,,,,X,,,
"Progomphus borealis McLachlan in Selys, 1873 - Gray Sanddragon",x,,,,X,,,
"Progomphus obscurus (Rambur, 1842) - Common Sanddragon",x,,,,X,,,
"Stenogomphurus consanguis (Selys, 1879) - Cherokee Clubtail",x,,,,X,,,
"Stenogomphurus rogersi (Gloyd, 1936) - Sable Clubtail",x,,,,X,,,
"Stylogomphus albistylus (Hagen in Selys, 1878) - Eastern Least Clubtail",x,,,,X,,,
"Stylogomphus sigmastylus Cook and Laudermilk, 2004 - Interior Least Clubtail",x,,,,X,,,
"Stylurus amnicola (Walsh, 1862) - Riverine Clubtail",x,,,,X,,,
"Stylurus intricatus (Hagen in Selys, 1858) - Brimstone Clubtail",x,,,,X,,,
"Stylurus ivae Williamson, 1932 - Shining Clubtail",x,,,,X,,,
"Stylurus laurae Williamson, 1932 - Laura’s Clubtail",x,,,,X,,,
"Stylurus notatus (Rambur, 1842) - Elusive Clubtail",x,,,,X,,,
"Stylurus olivaceus (Selys, 1873) - Olive Clubtail",x,,,,X,,,
"Stylurus plagiatus (Selys, 1854) - Russet-tipped Clubtail",x,,,,X,,,
"Stylurus potulentus (Needham, 1942) - Yellow-sided Clubtail",x,,,,X,,,
"Stylurus scudderi (Selys, 1873) - Zebra Clubtail",x,,,,X,,,
"Stylurus spiniceps (Walsh, 1862) - Arrow Clubtail",x,,,,X,,,
"Stylurus townesi Gloyd, 1936 - Townes’s Clubtail",x,,,,X,,,
,,,,,,,,
Cordulegastridae - Spiketails,,,,,,,,
"Cordulegaster bilineata (Carle, 1983) - Brown Spiketail",,x,,,,X,,
"Cordulegaster diadema Selys, 1868 - Apache Spiketail",,x,,,,X,,
"Cordulegaster diastatops (Selys, 1854) - Delta-spotted Spiketail",,x,,,,X,,
"Cordulegaster dorsalis Hagen in Selys, 1858 - Pacific Spiketail",,x,,,,X,,
"Cordulegaster erronea Hagen in Selys, 1878 - Tiger Spiketail",,x,,,,X,,
"Cordulegaster maculata Selys, 1854 - Twin-spotted Spiketail",,x,,,,X,,
"Cordulegaster obliqua (Say, 1839) - Arrowhead Spiketail",,x,,,,X,,
"Cordulegaster sarracenia Abbott & Hibbitts, 2011 - Sarracenia Spiketail",,x,,,,X,,
"Cordulegaster sayi Selys, 1854 - Say’s Spiketail",,x,,,,X,,
"Cordulegaster talaria Tennessen, 2004 - Ouachita Spiketail",,x,,,,X,,
,,,,,,,,
Macromiidae - Cruisers,,,,,,,,
"Didymops floridensis Davis, 1921 - Florida Cruiser",,x,,,,X,,
"Didymops transversa (Say, 1839) - Stream Cruiser",,x,,,,X,,
"Macromia alleghaniensis Williamson, 1909 - Allegheny River Cruiser",,x,,,,X,,
"Macromia annulata Hagen, 1861 - Bronzed River Cruiser",,x,,,,X,,
"Macromia illinoiensis Walsh, 1862 - Swift River Cruiser",,x,,,,X,,
"Macromia magnifica McLachlan in Selys, 1874 - Western River Cruiser",,x,,,,X,,
"Macromia margarita Westfall, 1947 - Mountain River Cruiser",,x,,,,X,,
"Macromia pacifica Hagen, 1861 - Gilded River Cruiser",,x,,,,X,,
"Macromia taeniolata Rambur, 1842 - Royal River Cruiser",,x,,,,X,,
,,,,,,,,
Corduliidae - Emeralds,,,,,,,,
"Cordulia shurtleffii Scudder, 1866 - American Emerald",,x,,,,X,,
"Dorocordulia lepida (Hagen in Selys, 1871) - Petite Emerald",,x,,,,X,,
"Dorocordulia libera (Selys, 1871) - Racket-tailed Emerald",,x,,,,X,,
"Epitheca canis (McLachlan, 1886) - Beaverpond Baskettail",,x,,,,X,,
"Epitheca costalis (Selys, 1871) - Slender Baskettail",,x,,,,X,,
"Epitheca cynosura (Say, 1839) - Common Baskettail",,x,,,,X,,
"Epitheca petechialis (Muttkowski, 1911) - Dot-winged Baskettail",,x,,,,X,,
"Epitheca princeps Hagen, 1861 - Prince Baskettail",,x,,,,X,,
"Epitheca semiaquea (Burmeister, 1839) - Mantled Baskettail",,x,,,,X,,
"Epitheca sepia (Gloyd, 1933) - Sepia Baskettail",,x,,,,X,,
"Epitheca spinigera (Selys, 1871) - Spiny Baskettail",,x,,,,X,,
"Epitheca spinosa (Hagen in Selys, 1878) - Robust Baskettail",,x,,,,X,,
"Epitheca stella (Williamson in Muttkowski, 1911) - Florida Baskettail",,x,,,,X,,
"Helocordulia selysii (Hagen in Selys, 1878) - Selys’s Sundragon",,,x,,,X,,
"Helocordulia uhleri (Selys, 1871) - Uhler’s Sundragon",,,x,,,X,,
"Neurocordulia alabamensis Hodges in Needham and Westfall, 1955 - Alabama Shadowdragon",,x,,,,X,,
"Neurocordulia michaeli Brunelle, 2000 - Broad-tailed Shadowdragon",,x,,,,X,,
"Neurocordulia molesta (Walsh, 1863) - Smoky Shadowdragon",,x,,,,X,,
"Neurocordulia obsoleta (Say, 1839) - Umber Shadowdragon",,x,,,,X,,
"Neurocordulia virginiensis Davis, 1927 - Cinnamon Shadowdragon",,x,,,,X,,
